unit_id,max_label
2,tasers
3,tasers
4,tasers
5,tasers
6,trespass
7,trespass
8,tasers
9,tasers
10,tasers
11,tasers
12,tasers
13,tasers
15,tasers
16,tasers
17,tasers
18,tasers
19,tasers
20,tasers
21,tasers
22,trespass
23,tasers
25,tasers
26,tasers
30,null
31,trespass
35,null
36,tasers
38,tasers
42,tasers
55,null
75,tasers
80,racial_slurs
83,tasers
107,tasers
119,trespass
136,tasers
142,sexual_harassment_remarks
145,tasers
149,trespass
152,null
153,tasers
169,trespass
171,tasers
173,trespass
174,tasers
175,tasers
178,null
179,tasers
180,trespass
182,tasers
183,planting_drugs_guns
191,tasers
193,neglect_of_duty
204,tasers
208,tasers
212,trespass
215,trespass
218,null
225,tasers
226,tasers